refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Community ID,Gravity,Degree Centrality,Betweenness Centrality,Edge Weight Sum
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804,0,0.44084565799441117,0.2877094972067039,0.002867885218452258,177.01521152036975
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741,0,0.43413603142612955,0.2835195530726257,0.0027263835024234255,174.62881767269644
ABAVUV,OC(=O)c1ccncc1,Co,4.9992,4.29904,4.982,0,0.4147908672609968,0.2709497206703911,0.0025507432778609086,167.10249684433384
ABAYIO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,11.39487,4.3226,11.39487,2,0.6615244398443196,0.4774590163934426,0.010035211135216259,199.30904276075609
ABAYOU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.5108,11.27344,0,0.6657942612302782,0.40363128491620115,0.014121432983001492,245.5682154668925
ABIWOX,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.7958,1.80785,0,0.32030580261895175,0.20949720670391062,0.002731381139091976,126.15157952994564
ABUFUA,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073,4,0.0,1.0,0.0,0.8171449995284192
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514,5,0.6777140987544986,0.4838940586972083,0.0032560676392215395,592.4603305913994
ACAFAO,[O-][n+]1ccc(cc1)c1ccc(cc1)C(=O)O,Pb,6.22232,5.37253,6.18758,6,0.23762405524549324,0.21019108280254778,0.0002540179917458352,28.418000704615558
ACAJOG,OC(=O)c1cc(F)cnc1,Cu,3.3423,1.69329,3.34162,3,0.1452608840537796,0.09873417721518987,9.756391709589968e-05,96.13122083755538
ACAKEX,OC(=O)c1cc(Cl)cnc1,Cu,2.82904,1.09185,2.4209,3,0.13742057253314058,0.09367088607594937,5.888222330977539e-05,90.92810142454192
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184,5,0.6112891471512688,0.4359341445955619,0.003581865917273845,527.9698811660312
ACICOH,OC(=O)c1ccncc1,Ni,5.23439,3.67775,5.17003,12,0.652469754733047,0.4427083333333333,0.013560823661066807,72.50606306395532
ACMPCD,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O,Cd,5.66735,4.60927,5.66735,13,0.9861991768058572,0.6666666666666666,0.6666666666666666,1.7162247984971102
ACODAA,n1[nH]cc(c1)c1c[nH]nc1,Fe,6.48152,5.94554,6.48152,15,0.063387087032865,1.0,0.0,7.717170224501584
ACODED,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cu,6.08481,3.78801,6.00167,3,0.22850742549030892,0.09282700421940929,0.0007219679601159881,90.38083142273301
ACODEE,n1[nH]cc(c1)c1c[nH]nc1,Fe,2.62395,1.50111,2.6185,15,0.0,1.0,0.0,7.684523735172145
ACODIH,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zn,6.22954,4.82188,6.21878,5,0.299567142481535,0.2219040801717967,0.00036077282490264335,265.1014489009971
