2025-05-16 11:21:01,902 - INFO - Starting Bootstrapped Black Hole Strategy and Evaluation
2025-05-16 11:21:01,902 - INFO - Memory usage: 308.80 MB
2025-05-16 11:21:01,902 - ERROR - Failed to load edges from MOFGalaxyNet.csv: [Errno 2] No such file or directory: 'MOFGalaxyNet.csv'
2025-05-16 11:21:01,902 - ERROR - Failed to load data: [Errno 2] No such file or directory: 'MOFGalaxyNet.csv'
2025-05-16 11:21:37,255 - INFO - Starting Bootstrapped Black Hole Strategy and Evaluation
2025-05-16 11:21:37,255 - INFO - Memory usage: 307.48 MB
2025-05-16 11:21:37,416 - INFO - Loaded MOFGalaxyNet.csv: 829300 edges
2025-05-16 11:21:37,483 - INFO - Summary data rows: 12561, unique metals: 51
2025-05-16 11:21:37,497 - WARNING - Unknown metal Ag for node ABAYIM, defaulting to Cu
2025-05-16 11:21:37,498 - WARNING - Unknown metal Mn for node ABAYIO, defaulting to Cu
2025-05-16 11:21:37,500 - WARNING - Unknown metal Ag for node ABAYOS, defaulting to Cu
2025-05-16 11:21:37,501 - WARNING - Unknown metal Ag for node ABAYOS01, defaulting to Cu
2025-05-16 11:21:37,506 - WARNING - Unknown metal Mn for node ABUFOU, defaulting to Cu
2025-05-16 11:21:37,510 - WARNING - Unknown metal Pb for node ACAFAO, defaulting to Cu
2025-05-16 11:21:37,513 - WARNING - Unknown metal La for node ACAKUM, defaulting to Cu
2025-05-16 11:21:37,514 - WARNING - Unknown metal Eu for node ACALAT, defaulting to Cu
2025-05-16 11:21:37,516 - WARNING - Unknown metal Tb for node ACALEX, defaulting to Cu
2025-05-16 11:21:37,517 - WARNING - Unknown metal Er for node ACALIB, defaulting to Cu
2025-05-16 11:21:37,518 - WARNING - Unknown metal Ag for node ACAZEK, defaulting to Cu
2025-05-16 11:21:37,521 - WARNING - Unknown metal Ni for node ACICOH, defaulting to Cu
2025-05-16 11:21:37,522 - WARNING - Unknown metal Cd for node ACMPCD, defaulting to Cu
2025-05-16 11:21:37,523 - WARNING - Unknown metal Sc for node ACOBEC, defaulting to Cu
2025-05-16 11:21:37,529 - WARNING - Unknown metal Tb for node ACODON, defaulting to Cu
2025-05-16 11:21:37,531 - WARNING - Unknown metal Eu for node ACOFEG, defaulting to Cu
2025-05-16 11:21:37,532 - WARNING - Unknown metal Tb for node ACOFIK, defaulting to Cu
2025-05-16 11:21:37,534 - WARNING - Unknown metal Cd for node ACOGAB, defaulting to Cu
2025-05-16 11:21:37,535 - WARNING - Unknown metal Cd for node ACOGEF, defaulting to Cu
2025-05-16 11:21:37,536 - WARNING - Unknown metal Cd for node ACOLOV, defaulting to Cu
2025-05-16 11:21:37,539 - WARNING - Unknown metal Cd for node ACUBOP, defaulting to Cu
2025-05-16 11:21:37,540 - WARNING - Unknown metal Cd for node ACUBOP01, defaulting to Cu
2025-05-16 11:21:37,541 - WARNING - Unknown metal Ni for node ACUREY, defaulting to Cu
2025-05-16 11:21:37,543 - WARNING - Unknown metal Mn for node ACUWIH, defaulting to Cu
2025-05-16 11:21:37,545 - WARNING - Unknown metal Ag for node ACUXUU, defaulting to Cu
2025-05-16 11:21:37,547 - WARNING - Unknown metal Ag for node ACUYAB, defaulting to Cu
2025-05-16 11:21:37,548 - WARNING - Unknown metal Zr for node ADAQAA, defaulting to Cu
2025-05-16 11:21:37,560 - WARNING - Unknown metal Ag for node ADATOQ, defaulting to Cu
2025-05-16 11:21:37,562 - WARNING - Unknown metal Ag for node ADATUW, defaulting to Cu
2025-05-16 11:21:37,563 - WARNING - Unknown metal Ag for node ADAVAE, defaulting to Cu
2025-05-16 11:21:37,565 - WARNING - Unknown metal Ag for node ADAVEI, defaulting to Cu
2025-05-16 11:21:37,566 - WARNING - Unknown metal Ag for node ADAVIM, defaulting to Cu
2025-05-16 11:21:37,567 - WARNING - Unknown metal Cd for node ADEGEY, defaulting to Cu
2025-05-16 11:21:37,568 - WARNING - Unknown metal Gd for node ADEGIA, defaulting to Cu
2025-05-16 11:21:37,570 - WARNING - Unknown metal Gd for node ADEGIA01, defaulting to Cu
2025-05-16 11:21:37,578 - WARNING - Unknown metal La for node ADODII, defaulting to Cu
2025-05-16 11:21:37,580 - WARNING - Unknown metal Eu for node ADODOO, defaulting to Cu
2025-05-16 11:21:37,581 - WARNING - Unknown metal Tb for node ADODUU, defaulting to Cu
2025-05-16 11:21:37,585 - WARNING - Unknown metal Mn for node ADUFOX, defaulting to Cu
2025-05-16 11:21:37,586 - WARNING - Unknown metal Ni for node ADUJER, defaulting to Cu
2025-05-16 11:21:37,592 - WARNING - Unknown metal Ni for node ADUWON, defaulting to Cu
2025-05-16 11:21:37,593 - WARNING - Unknown metal Dy for node AFAFAR, defaulting to Cu
2025-05-16 11:21:37,597 - WARNING - Unknown metal Cd for node AFIPUB, defaulting to Cu
2025-05-16 11:21:37,600 - WARNING - Unknown metal Gd for node AFOJIO, defaulting to Cu
2025-05-16 11:21:37,601 - WARNING - Unknown metal Cd for node AFORCD, defaulting to Cu
2025-05-16 11:21:37,603 - WARNING - Unknown metal Eu for node AFOTOF, defaulting to Cu
2025-05-16 11:21:37,604 - WARNING - Unknown metal Sm for node AFOTUL, defaulting to Cu
2025-05-16 11:21:37,605 - WARNING - Unknown metal La for node AFOVAT, defaulting to Cu
2025-05-16 11:21:37,606 - WARNING - Unknown metal Ce for node AFOVEX, defaulting to Cu
2025-05-16 11:21:37,607 - WARNING - Unknown metal Gd for node AFOVIB, defaulting to Cu
2025-05-16 11:21:37,609 - WARNING - Unknown metal Nd for node AFOVOH, defaulting to Cu
2025-05-16 11:21:37,610 - WARNING - Unknown metal Cd for node AFOWOK, defaulting to Cu
2025-05-16 11:21:37,616 - WARNING - Unknown metal Dy for node AFUDIR, defaulting to Cu
2025-05-16 11:21:37,618 - WARNING - Unknown metal Ho for node AFUDOX, defaulting to Cu
2025-05-16 11:21:37,619 - WARNING - Unknown metal Gd for node AFUDUD, defaulting to Cu
2025-05-16 11:21:37,620 - WARNING - Unknown metal Pr for node AFUFAL, defaulting to Cu
2025-05-16 11:21:37,622 - WARNING - Unknown metal Sm for node AFUFEP, defaulting to Cu
2025-05-16 11:21:37,623 - WARNING - Unknown metal Tm for node AFUPEX, defaulting to Cu
2025-05-16 11:21:37,628 - WARNING - Unknown metal Ag for node AGDCNM, defaulting to Cu
2025-05-16 11:21:37,629 - WARNING - Unknown metal Ca for node AGEGOL, defaulting to Cu
2025-05-16 11:21:37,630 - WARNING - Unknown metal Tb for node AGEGUR, defaulting to Cu
2025-05-16 11:21:37,631 - WARNING - Unknown metal Tb for node AGEHAY, defaulting to Cu
2025-05-16 11:21:37,634 - WARNING - Unknown metal Mn for node AGEWUH, defaulting to Cu
2025-05-16 11:21:37,639 - WARNING - Unknown metal Cd for node AGONAM, defaulting to Cu
2025-05-16 11:21:37,640 - WARNING - Unknown metal Cd for node AGONEQ, defaulting to Cu
2025-05-16 11:21:37,641 - WARNING - Unknown metal Ag for node AGOXAL02, defaulting to Cu
2025-05-16 11:21:37,642 - WARNING - Unknown metal Ag for node AGOXAL03, defaulting to Cu
2025-05-16 11:21:37,644 - WARNING - Unknown metal Ag for node AGOXAL04, defaulting to Cu
2025-05-16 11:21:37,645 - WARNING - Unknown metal Ag for node AGSLFA, defaulting to Cu
2025-05-16 11:21:37,646 - WARNING - Unknown metal Ag for node AGSLFB, defaulting to Cu
2025-05-16 11:21:37,647 - WARNING - Unknown metal Mn for node AGULAQ, defaulting to Cu
2025-05-16 11:21:37,652 - WARNING - Unknown metal K for node AGUWEG01, defaulting to Cu
2025-05-16 11:21:37,653 - WARNING - Unknown metal Cd for node AHAJUP, defaulting to Cu
2025-05-16 11:21:37,654 - WARNING - Unknown metal Ce for node AHAKEA, defaulting to Cu
2025-05-16 11:21:37,656 - WARNING - Unknown metal La for node AHALEB, defaulting to Cu
2025-05-16 11:21:37,657 - WARNING - Unknown metal La for node AHALEB01, defaulting to Cu
2025-05-16 11:21:37,658 - WARNING - Unknown metal La for node AHALEB02, defaulting to Cu
2025-05-16 11:21:37,664 - WARNING - Unknown metal Li for node AHEMOQ, defaulting to Cu
2025-05-16 11:21:37,665 - WARNING - Unknown metal Ho for node AHEQAH, defaulting to Cu
2025-05-16 11:21:37,668 - WARNING - Unknown metal Pb for node AHIJOQ, defaulting to Cu
2025-05-16 11:21:37,669 - WARNING - Unknown metal Pb for node AHIJOQ01, defaulting to Cu
2025-05-16 11:21:37,673 - WARNING - Unknown metal Mn for node AHIZOH, defaulting to Cu
2025-05-16 11:21:37,674 - WARNING - Unknown metal Cd for node AHIZUN, defaulting to Cu
2025-05-16 11:21:37,675 - WARNING - Unknown metal Mn for node AHOBAB, defaulting to Cu
2025-05-16 11:21:37,680 - WARNING - Unknown metal Eu for node AHONEQ, defaulting to Cu
2025-05-16 11:21:37,681 - WARNING - Unknown metal Sm for node AHONIU, defaulting to Cu
2025-05-16 11:21:37,682 - WARNING - Unknown metal Pb for node AHUBIO, defaulting to Cu
2025-05-16 11:21:37,688 - WARNING - Unknown metal Cd for node AJAKON, defaulting to Cu
2025-05-16 11:21:37,689 - WARNING - Unknown metal Pb for node AJASUA, defaulting to Cu
2025-05-16 11:21:37,690 - WARNING - Unknown metal Cd for node AJIFIJ, defaulting to Cu
2025-05-16 11:21:37,691 - WARNING - Unknown metal Cd for node AJIJEI, defaulting to Cu
2025-05-16 11:21:37,693 - WARNING - Unknown metal Cd for node AJIJEI01, defaulting to Cu
2025-05-16 11:21:37,694 - WARNING - Unknown metal Cd for node AJIJEI02, defaulting to Cu
2025-05-16 11:21:37,695 - WARNING - Unknown metal Cd for node AJIQIU, defaulting to Cu
2025-05-16 11:21:37,699 - WARNING - Unknown metal Ag for node AKECOK, defaulting to Cu
2025-05-16 11:21:37,700 - WARNING - Unknown metal Mn for node AKEGON, defaulting to Cu
2025-05-16 11:21:37,703 - WARNING - Unknown metal Cd for node AKOBAF, defaulting to Cu
2025-05-16 11:21:37,704 - WARNING - Unknown metal Ni for node AKOXIJ, defaulting to Cu
2025-05-16 11:21:37,705 - WARNING - Unknown metal Gd for node AKUHOD, defaulting to Cu
2025-05-16 11:21:37,706 - WARNING - Unknown metal Gd for node AKUHOD01, defaulting to Cu
2025-05-16 11:21:37,708 - WARNING - Unknown metal Gd for node AKUHOD03, defaulting to Cu
2025-05-16 11:21:37,709 - WARNING - Unknown metal Tb for node ALAHUS, defaulting to Cu
2025-05-16 11:21:37,710 - WARNING - Unknown metal Pr for node ALALUU, defaulting to Cu
2025-05-16 11:21:37,711 - WARNING - Unknown metal Pr for node ALALUU01, defaulting to Cu
2025-05-16 11:21:37,717 - WARNING - Unknown metal In for node ALEJAE, defaulting to Cu
2025-05-16 11:21:37,721 - WARNING - Unknown metal Tb for node ALEQIT, defaulting to Cu
2025-05-16 11:21:37,724 - WARNING - Unknown metal Mn for node ALIQUH, defaulting to Cu
2025-05-16 11:21:37,726 - WARNING - Unknown metal Mn for node ALIRAO, defaulting to Cu
2025-05-16 11:21:37,727 - WARNING - Unknown metal Mn for node ALIRAO01, defaulting to Cu
2025-05-16 11:21:37,728 - WARNING - Unknown metal Ag for node ALIRES, defaulting to Cu
2025-05-16 11:21:37,731 - WARNING - Unknown metal Ni for node ALIXOJ, defaulting to Cu
2025-05-16 11:21:37,733 - WARNING - Unknown metal Mn for node ALOLIY, defaulting to Cu
2025-05-16 11:21:37,734 - WARNING - Unknown metal V for node ALOVEC, defaulting to Cu
2025-05-16 11:21:37,736 - WARNING - Unknown metal La for node ALUJEX, defaulting to Cu
2025-05-16 11:21:37,737 - WARNING - Unknown metal Ce for node ALUJIB, defaulting to Cu
2025-05-16 11:21:37,738 - WARNING - Unknown metal Nd for node ALUJOH, defaulting to Cu
2025-05-16 11:21:37,739 - WARNING - Unknown metal Y for node ALUJUN, defaulting to Cu
2025-05-16 11:21:37,740 - WARNING - Unknown metal Dy for node ALUKAU, defaulting to Cu
2025-05-16 11:21:37,742 - WARNING - Unknown metal Ce for node ALUKIC, defaulting to Cu
2025-05-16 11:21:37,743 - WARNING - Unknown metal Sm for node ALUKOI, defaulting to Cu
2025-05-16 11:21:37,744 - WARNING - Unknown metal Eu for node ALUKUO, defaulting to Cu
2025-05-16 11:21:37,746 - WARNING - Unknown metal Gd for node ALULAV, defaulting to Cu
2025-05-16 11:21:37,747 - WARNING - Unknown metal Ce for node ALULEZ, defaulting to Cu
2025-05-16 11:21:37,748 - WARNING - Unknown metal Ce for node ALULID, defaulting to Cu
2025-05-16 11:21:37,749 - WARNING - Unknown metal Cd for node AMAFIE, defaulting to Cu
2025-05-16 11:21:37,754 - WARNING - Unknown metal Pb for node AMAJUU, defaulting to Cu
2025-05-16 11:21:37,755 - WARNING - Unknown metal Nd for node AMALND, defaulting to Cu
2025-05-16 11:21:37,756 - WARNING - Unknown metal Ag for node AMBZAG10, defaulting to Cu
2025-05-16 11:21:37,758 - WARNING - Unknown metal Pb for node AMEBAX, defaulting to Cu
2025-05-16 11:21:37,760 - WARNING - Unknown metal Cd for node AMIKOX, defaulting to Cu
