refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804,0.10701847606382665,0.25705794947994054,0.0029304263323584917,149.0846554607809,255
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741,0.0918454791808061,0.26300148588410105,0.0027530867751277503,152.52646273702908,255
ABAVUV,OC(=O)c1ccncc1,Co,4.9992,4.29904,4.982,0.3756549356879557,0.24219910846953938,0.002693783822795478,140.58313602160004,255
ABAYIM,OC(=O)c1nccnc1C(=O)O,Ag,1.2109,0.51751,1.2109,0.1784228694628296,0.045454545454545456,2.0178958535122923e-05,9.08463990375616,321
ABAYIO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,11.39487,4.3226,11.39487,0.13770535432927067,0.39999999999999997,0.008025569131376514,163.12958436590526,5
ABAYOS,OC(=O)c1nccnc1C(=O)O,Ag,1.45533,0.64478,1.45533,0.07419932513023254,0.049999999999999996,2.8565019225044135e-05,9.902806719826383,321
ABAYOS01,OC(=O)c1nccnc1C(=O)O,Ag,1.43609,0.70443,1.40839,0.1671020560780065,0.04090909090909091,9.224666758913333e-06,8.085615347640669,321
ABAYOU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.5108,11.27344,0.6799092651915241,0.3818722139673105,0.015935689228946427,218.68051603256208,255
ABEMIF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251,0.6056164580201704,0.4989010989010989,0.0057888855762487255,394.75953076856644,15
ABIWOX,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.7958,1.80785,0.26984544426924817,0.1961367013372957,0.0028904950331253027,110.99682078238541,255
ABUFOU,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Mn,2.13608,1.65727,2.11833,0.1791278083812427,0.00631578947368421,0.004212780689866135,2.5577184383557103,5
ABUFUA,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073,0.0,1.0,0.0,0.8171449995284192,457
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514,0.25433559570535597,0.5238938053097345,0.002928570954394674,519.3441650095385,1
ACAFAO,[O-][n+]1ccc(cc1)c1ccc(cc1)C(=O)O,Pb,6.22232,5.37253,6.18758,0.20194422875183035,0.18471337579617836,0.0004201162577604699,24.999236596353082,664
ACAJOG,OC(=O)c1cc(F)cnc1,Cu,3.3423,1.69329,3.34162,0.17659631085892505,0.11208791208791209,0.00014289521707099625,83.64864203831554,15
ACAKEX,OC(=O)c1cc(Cl)cnc1,Cu,2.82904,1.09185,2.4209,0.12524031627525717,0.11098901098901098,0.000130168462921885,82.60443575866951,15
ACALIB,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Er,3.83161,1.64823,3.83161,0.3490338283115617,0.056179775280898875,0.0,4.073195708273081,59
ACAZEK,NCCN,Ag,1.67292,0.95578,1.29275,0.9974243751185214,0.9722222222222222,0.004353859778711963,34.892841431015555,117
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184,0.38946726671963094,0.47079646017699117,0.0036036110329919656,461.6758965291796,1
