source,target,weight
MIHJUL,MOXDEJ,0.8189108785723507
ULISOZ,XOHLEM,0.9995959575944676
NIHBAI,NIHBEM02,0.9999912334557524
PIWLIT,IFABIA,0.9469160789658608
XASNUD,EWUKIS,0.9927964477291468
DUGDOA02,EMEGEJ,0.8009463778362371
PIFPIE,PICCUC,0.8242477687524978
QUSBIP,WAFKEU04,0.9076792208973352
PAMQEB,YOZMOR,0.8777635065907167
DURDAX,VEGMOK01,0.8401731274184726
UFAMUM,MAFZOK,0.842634447996023
YUMFUJ,IZAVUA01,0.8075098216523025
FUYCOT,BADZAK,0.9986674017367232
DOTSOV15,GIKMOD09,0.8936050879652209
NURMUJ,FABFOF,0.8233929956459214
SAQQIL,DODMIT,0.9407197153279142
MAWTUC,BEPMEQ,0.999983394922164
PIWLOZ,AVIMIC,0.8145242149676108
QUQFEO,FUTZOL,0.9326776933107516
TARYUJ,XUZRIU,0.8288985331741949
FUVGAG02,FUVGAG01,0.9999998777561444
ELAPIQ,UREVIY,0.822878875610425
HAZGOF03,HOJPIH,0.999792154963335
QAHPEX04,QAHPEX05,0.9999970394420604
QOPZIF,TUWFIC,0.9177624417722088
DOTSOV15,LAYXAN,0.8504216284210172
EYUWAW,WEYQAU01,0.84196810997798
XUPSAE,KUNTAQ01,0.8353761455904452
PERQUB,HOVGEG,0.8058448608545752
EKERIW,BUZKUE,0.8193253462757433
QISNIR,BUPKED,0.8031179355799551
FERCAJ,PUWDOA,0.8100791209123666
UFUNAK,DOTSOV29,0.8133828006307702
UGECEO03,SATNOR01,0.8621064025623915
SIRBIG04,AMURUX02,0.9993054552029346
QUSWIK01,JUKVEQ,0.8441982504306151
DOTSOV41,QAWHIH,0.99869572561882
PERQUB,VUSKAW,0.8738631507954526
YABKEU,SIKYER,0.8353834804925312
XOHLEM01,DOYHOQ,0.8764414800741568
DERBIO,AXINAX01,0.9563683060065558
MAGVOG11,MAGVOG16,0.9999063424414716
NAPZOV,NEHMET,0.9178107960735667
CORZIU,KEDWOI,0.8530041628812334
TEJBAN,GICXAU,0.8120067775430826
AHEBAS,DOTSOV38,0.8160520077731168
PUWDAM,WUMDIT,0.8085171327160339
DOTSOV27,YIMQIX,0.8032540903136605
XOHLEM,YOCDUR,0.8066933017009925
YODRAM,NERVEL,0.8429954036192956
QQQDSD01,RBOXAL01,0.9989909095844386
BUCWAZ,FAMBUS,0.939851753148838
MEWPIQ,VEGMOK04,0.8767740506411841
DADTOS08,LIJWOR03,0.999917857998274
OJOQAF01,FUQJUX,0.820608659616768
TONBUU,ACICOH,0.8150612159784312
SAHYOQ,DUDVUV,0.8302269424652478
LIQFIC,VILXOE,0.842872402834697
LAWGUM,NISCOJ,0.8456600020952917
LIGWUW,HAQRID,0.8343861818243444
PADKIP01,ATIBOU,0.9957264357521096
NIWZIE09,NIWZIE06,0.999984215062304
UFUNIS,NAPSUV,0.8643538004698292
TITBUV,PEJPAX,0.8032929705487133
MAHTAR,ROYMEZ,0.865111595484136
KAWHEY,PIWLEP,0.8012208285126639
LUWKIZ,PIJJEZ,0.8697106187256856
EGELUY01,DITJOI,0.8134481787297543
VACKUI,BELTUJ,0.8227932925431953
XOKJUD,ORIFUS,0.9876101387051466
CAWDOU02,LIRVAK,0.8551907715251107
KEFBEE,SEVWIC,0.8085657115196094
