source,target,weight
VIXZUZ,QOYYOU,0.8119595237390403
NATKIF,TOFTIT,0.8030734098611166
EDAJUP,BUKLOJ01,0.8041810311825816
WAQTEQ,NANYUX,0.807551233715337
GINTUT,LUTCAF,0.80257765878616
SIWSIC,DOTSOV33,0.800688558163231
AVAQIX,POSGEL,0.801190343628499
NEHGEO,FUTZOL,0.8052530122873927
DOLWEI,NOMPIQ,0.8028286275027595
OTIQEP,PUNYIH,0.8136840527142689
PASGEX01,MIQKON,0.8128346274839592
PEVQOY,WIXJIW01,0.8212416861784826
DOTSOV35,QOWRAV10,0.8338818991677334
NUFBOH,OFUYUL,0.8270300678747906
IVEMAZ,BIYTOU,0.8234077619439326
CUMLUT,RUXWEM,0.8347966771266241
NUCBIY,VEGMOK01,0.8215581593323361
XIHSAJ,NIGNUO,0.8366024935115636
GIBWOE,MIQLAA,0.8321706069691415
KOJZOZ,RIWMUH,0.8328327733329697
JUXZOT,SOCJUR,0.8252890770353509
ECIWOC,CEPBOR,0.8237381448247127
DOTSOV41,LAYXAN,0.8505418032209628
METHAX,OTIPEO,0.8435937619175246
VIXZUZ,NODTEH,0.8521538709249576
EDUSIF,TACJEO,0.8525959266849503
UKALAV,YOZNAE,0.846310636326862
FIKSID,IYEXIT,0.8452027749647597
GAGWUH01,ACICOH,0.8438524754372045
QAQSAD,RUBBOH,0.8443983674127931
NOMQAJ,FUYCUZ,0.8596998830984154
LAWGUM,FONPUV,0.847572439343979
ABAYIO,KIVKEI,0.8556308371440177
RUYGOJ,UWAGAB01,0.8749214025220243
FUYCUZ,PEJNUP,0.8696279776957451
IFABIA01,FASQUN,0.8689188736105636
VOBQIO,OROZUR,0.8622667103556311
UNAGUN,EDUSIF,0.8703813353483584
SEGWAF,FAGXOD,0.8633352905544489
YOZNAE,PAMQEB,0.8777721883241401
BIHROC,WEBTOP,0.8651476251838601
YICQOS01,KULMEK,0.876717634883753
AROFET,JUQPIW,0.8600355561103064
SAHYOQ02,PEJPEB,0.8710179972943077
JEHLAK,JEMMOE,0.8848824792185421
UFORIT,GEDXOF,0.8910159536511152
XAPMUY,HAPZUW,0.8999893177045732
FUYCUZ,PIJKEB,0.8862167656134323
DOTSOV19,LUTBEI,0.8936349151686709
RIGPII,CEZYOY,0.8898666721430977
JUJMOS,HOLRAD,0.8855838355853513
DARYIF,VUSKEA,0.884332382328843
DOTSOV11,LUSZOP,0.893244735463804
LAWGOG,RUYGOJ,0.8899827179469385
WASQIT,VIFPUY01,0.8950017413565916
VAGMEX,IYEXIT,0.9189413169817048
UFENAW,FALTUJ,0.9198044463088936
VOLQOD,MIBQAR08,0.9054071364284776
NODTEH,VOLQUJ,0.904227459693909
VIFPUY01,GIWMAD,0.9073483238663368
NEMXUB,FIJYAZ,0.90094004208609
IBICED,MAWTUC,0.9140251844023806
CITXUZ,DOTSOV24,0.9190032587623768
UMODEH02,UMOBEF07,0.90274422073241
PIDMEV,VUSJUP,0.9080790682530034
BAKJII,DIDBID,0.9080803753182194
GAWJEV,FONPUV,0.9295712129732236
APAZOI,AFOVAT,0.932918934552929
IBEYAQ,NUHQAK,0.924807338258396
NIWYEZ,UFAMUM,0.9383698307015736
PEVQEO,RUYGEZ,0.9262066119261412
AFOVAT,APAZOI,0.932918934552929
MIKVEK,DOTSOV11,0.9305979230334318
VOKMUF,VOKCIJ,0.9216998474789792
HEKTAU,GAXKUN,0.9252943051853064
QUSWIK01,YIBMON01,0.9322040071024266
RUYGEZ,UXELIT,0.924898496688998
KOZSEZ,YOVTOS,0.9489502109660644
REKYIS,KOSJOT,0.9517618292603718
KESFIA,JOPGIG,0.9438617893079904
MOLQEL,WULQUR,0.94187847339348
UFAMUM,UNAGUN,0.9458275173568176
VOKNEQ,VOKCEF,0.9474531546762498
VONBUX02,ODOKAU,0.9402986599856994
XEGQUY,LUGLOO,0.9497246953654122
MIFGEP01,HEKTUO01,0.9463873103401113
QOWRAV06,HEHROE,0.9527615407238303
IJEXIF,MOLQEL,0.945642959160596
BAZFUF01,LAYXAN,0.9655877794079312
BECRUX07,VONBUX01,0.9798522187191272
QEHZAH,IZEWAN,0.9755145540406333
EHIJAH,VIKBUP,0.9623075423955524
IPAMER,METJIH01,0.9786780945676758
UWAGAB04,NAPFUG,0.9613891456726368
ANUGIA,BAZFUF01,0.9629027212591048
ANUGIA,QOWRAV06,0.960303176753452
BAKJII,AZIHOI,0.9755137288975194
PIQQIR,MICCIM,0.9755472413889006
QOWRAV10,NAFSOF,0.9789470590790446
MIRNOR01,OJOQAF,0.99957261260333
NURGUE,PADKIP31,0.9999412665311976
NIHBIQ01,NUDPAE11,0.9984654120886476
TAZBUT01,PADKIP23,0.9999798626218122
QAHPEX05,DADTOS,0.9996065024435832
GAJVIY,QUSWIK,0.9994441629917415
UNIRUF05,OCOTIM,0.9988461425609044
IXISOZ02,EDEPAG,0.9923427842713556
FUVDEH03,FUVGAG02,0.9999208721759224
PUNYIH,WEYQAU,0.9975120001673048
DIDBAV,ERUNOW,0.998580379907328
OCIHAK,PENBOC01,0.8034300592775399
FIJCUX01,PASGEX04,0.8148922026267778
VEHJOJ,UJAQUS,0.8744829405173815
ESECUC,CESNUM,0.8043714449035211
MIBQAR01,DURDEB,0.8400770437679586
